Coriell sample ID, family pedID, individual pedID, father pedID, mother pedID, sex, individual LSID, sample LSID
NA12003,1420,9,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1420.09:1,urn:lsid:dcc.hapmap.org:Sample:NA12003:1
NA12004,1420,10,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1420.10:1,urn:lsid:dcc.hapmap.org:Sample:NA12004:1
NA10838,1420,1,9,10,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1420.01:1,urn:lsid:dcc.hapmap.org:Sample:NA10838:1
NA12005,1420,11,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1420.11:1,urn:lsid:dcc.hapmap.org:Sample:NA12005:1
NA12006,1420,12,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1420.12:1,urn:lsid:dcc.hapmap.org:Sample:NA12006:1
NA10839,1420,2,11,12,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1420.02:1,urn:lsid:dcc.hapmap.org:Sample:NA10839:1
NA12056,1344,12,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1344.12:1,urn:lsid:dcc.hapmap.org:Sample:NA12056:1
NA12057,1344,13,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1344.13:1,urn:lsid:dcc.hapmap.org:Sample:NA12057:1
NA10851,1344,1,12,13,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1344.01:1,urn:lsid:dcc.hapmap.org:Sample:NA10851:1
NA11829,1350,10,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1350.10:1,urn:lsid:dcc.hapmap.org:Sample:NA11829:1
NA11830,1350,11,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1350.11:1,urn:lsid:dcc.hapmap.org:Sample:NA11830:1
NA10856,1350,1,10,11,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1350.01:1,urn:lsid:dcc.hapmap.org:Sample:NA10856:1
NA11831,1350,12,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1350.12:1,urn:lsid:dcc.hapmap.org:Sample:NA11831:1
NA11832,1350,13,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1350.13:1,urn:lsid:dcc.hapmap.org:Sample:NA11832:1
NA10855,1350,2,12,13,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1350.02:1,urn:lsid:dcc.hapmap.org:Sample:NA10855:1
NA11992,1362,13,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1362.13:1,urn:lsid:dcc.hapmap.org:Sample:NA11992:1
NA11993,1362,14,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1362.14:1,urn:lsid:dcc.hapmap.org:Sample:NA11993:1
NA10860,1362,1,13,14,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1362.01:1,urn:lsid:dcc.hapmap.org:Sample:NA10860:1
NA11994,1362,15,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1362.15:1,urn:lsid:dcc.hapmap.org:Sample:NA11994:1
NA11995,1362,16,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1362.16:1,urn:lsid:dcc.hapmap.org:Sample:NA11995:1
NA10861,1362,2,15,16,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1362.02:1,urn:lsid:dcc.hapmap.org:Sample:NA10861:1
NA12154,1408,10,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1408.10:1,urn:lsid:dcc.hapmap.org:Sample:NA12154:1
NA12236,1408,11,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1408.11:1,urn:lsid:dcc.hapmap.org:Sample:NA12236:1
NA10830,1408,1,10,11,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1408.01:1,urn:lsid:dcc.hapmap.org:Sample:NA10830:1
NA12155,1408,12,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1408.12:1,urn:lsid:dcc.hapmap.org:Sample:NA12155:1
NA12156,1408,13,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1408.13:1,urn:lsid:dcc.hapmap.org:Sample:NA12156:1
NA10831,1408,2,12,13,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1408.02:1,urn:lsid:dcc.hapmap.org:Sample:NA10831:1
NA07357,1345,12,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1345.12:1,urn:lsid:dcc.hapmap.org:Sample:NA07357:1
NA07345,1345,13,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1345.13:1,urn:lsid:dcc.hapmap.org:Sample:NA07345:1
NA07348,1345,2,12,13,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1345.02:1,urn:lsid:dcc.hapmap.org:Sample:NA07348:1
NA06994,1340,9,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1340.09:1,urn:lsid:dcc.hapmap.org:Sample:NA06994:1
NA07000,1340,10,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1340.10:1,urn:lsid:dcc.hapmap.org:Sample:NA07000:1
NA07029,1340,1,9,10,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1340.01:1,urn:lsid:dcc.hapmap.org:Sample:NA07029:1
NA07022,1340,11,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1340.11:1,urn:lsid:dcc.hapmap.org:Sample:NA07022:1
NA07056,1340,12,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1340.12:1,urn:lsid:dcc.hapmap.org:Sample:NA07056:1
NA07019,1340,2,11,12,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1340.02:1,urn:lsid:dcc.hapmap.org:Sample:NA07019:1
NA11839,1349,13,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1349.13:1,urn:lsid:dcc.hapmap.org:Sample:NA11839:1
NA11840,1349,14,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1349.14:1,urn:lsid:dcc.hapmap.org:Sample:NA11840:1
NA10854,1349,2,13,14,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1349.02:1,urn:lsid:dcc.hapmap.org:Sample:NA10854:1
NA12043,1346,11,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1346.11:1,urn:lsid:dcc.hapmap.org:Sample:NA12043:1
NA12044,1346,12,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1346.12:1,urn:lsid:dcc.hapmap.org:Sample:NA12044:1
NA10857,1346,1,11,12,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1346.01:1,urn:lsid:dcc.hapmap.org:Sample:NA10857:1
NA12144,1334,10,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1334.10:1,urn:lsid:dcc.hapmap.org:Sample:NA12144:1
NA12145,1334,11,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1334.11:1,urn:lsid:dcc.hapmap.org:Sample:NA12145:1
NA10846,1334,1,10,11,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1334.01:1,urn:lsid:dcc.hapmap.org:Sample:NA10846:1
NA12146,1334,12,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1334.12:1,urn:lsid:dcc.hapmap.org:Sample:NA12146:1
NA12239,1334,13,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1334.13:1,urn:lsid:dcc.hapmap.org:Sample:NA12239:1
NA10847,1334,2,12,13,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1334.02:1,urn:lsid:dcc.hapmap.org:Sample:NA10847:1
NA12264,1375,11,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1375.11:1,urn:lsid:dcc.hapmap.org:Sample:NA12264:1
NA12234,1375,12,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1375.12:1,urn:lsid:dcc.hapmap.org:Sample:NA12234:1
NA10863,1375,2,11,12,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1375.02:1,urn:lsid:dcc.hapmap.org:Sample:NA10863:1
NA12716,1358,11,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1358.11:1,urn:lsid:dcc.hapmap.org:Sample:NA12716:1
NA12717,1358,12,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1358.12:1,urn:lsid:dcc.hapmap.org:Sample:NA12717:1
NA12707,1358,1,11,12,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1358.01:1,urn:lsid:dcc.hapmap.org:Sample:NA12707:1
NA12891,1463,15,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1463.15:1,urn:lsid:dcc.hapmap.org:Sample:NA12891:1
NA12892,1463,16,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1463.16:1,urn:lsid:dcc.hapmap.org:Sample:NA12892:1
NA12878,1463,2,15,16,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1463.02:1,urn:lsid:dcc.hapmap.org:Sample:NA12878:1
NA12812,1454,12,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1454.12:1,urn:lsid:dcc.hapmap.org:Sample:NA12812:1
NA12813,1454,13,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1454.13:1,urn:lsid:dcc.hapmap.org:Sample:NA12813:1
NA12801,1454,1,12,13,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1454.01:1,urn:lsid:dcc.hapmap.org:Sample:NA12801:1
NA12814,1454,14,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1454.14:1,urn:lsid:dcc.hapmap.org:Sample:NA12814:1
NA12815,1454,15,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1454.15:1,urn:lsid:dcc.hapmap.org:Sample:NA12815:1
NA12802,1454,2,14,15,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1454.02:1,urn:lsid:dcc.hapmap.org:Sample:NA12802:1
NA12872,1459,9,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1459.09:1,urn:lsid:dcc.hapmap.org:Sample:NA12872:1
NA12873,1459,10,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1459.10:1,urn:lsid:dcc.hapmap.org:Sample:NA12873:1
NA12864,1459,1,9,10,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1459.01:1,urn:lsid:dcc.hapmap.org:Sample:NA12864:1
NA12874,1459,11,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1459.11:1,urn:lsid:dcc.hapmap.org:Sample:NA12874:1
NA12875,1459,12,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1459.12:1,urn:lsid:dcc.hapmap.org:Sample:NA12875:1
NA12865,1459,2,11,12,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1459.02:1,urn:lsid:dcc.hapmap.org:Sample:NA12865:1
NA12760,1447,9,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1447.09:1,urn:lsid:dcc.hapmap.org:Sample:NA12760:1
NA12761,1447,10,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1447.10:1,urn:lsid:dcc.hapmap.org:Sample:NA12761:1
NA12752,1447,1,9,10,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1447.01:1,urn:lsid:dcc.hapmap.org:Sample:NA12752:1
NA12762,1447,11,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1447.11:1,urn:lsid:dcc.hapmap.org:Sample:NA12762:1
NA12763,1447,12,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1447.12:1,urn:lsid:dcc.hapmap.org:Sample:NA12763:1
NA12753,1447,2,11,12,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1447.02:1,urn:lsid:dcc.hapmap.org:Sample:NA12753:1
NA07034,1341,11,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1341.11:1,urn:lsid:dcc.hapmap.org:Sample:NA07034:1
NA07055,1341,12,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1341.12:1,urn:lsid:dcc.hapmap.org:Sample:NA07055:1
NA07048,1341,1,11,12,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1341.01:1,urn:lsid:dcc.hapmap.org:Sample:NA07048:1
NA06993,1341,13,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1341.13:1,urn:lsid:dcc.hapmap.org:Sample:NA06993:1
NA06985,1341,14,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1341.14:1,urn:lsid:dcc.hapmap.org:Sample:NA06985:1
NA06991,1341,2,13,14,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1341.02:1,urn:lsid:dcc.hapmap.org:Sample:NA06991:1
NA12750,1444,13,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1444.13:1,urn:lsid:dcc.hapmap.org:Sample:NA12750:1
NA12751,1444,14,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1444.14:1,urn:lsid:dcc.hapmap.org:Sample:NA12751:1
NA12740,1444,2,13,14,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1444.02:1,urn:lsid:dcc.hapmap.org:Sample:NA12740:1
NA11881,1347,14,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1347.14:1,urn:lsid:dcc.hapmap.org:Sample:NA11881:1
NA11882,1347,15,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1347.15:1,urn:lsid:dcc.hapmap.org:Sample:NA11882:1
NA10859,1347,2,14,15,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1347.02:1,urn:lsid:dcc.hapmap.org:Sample:NA10859:1
NA12248,1416,11,0,0,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1416.11:1,urn:lsid:dcc.hapmap.org:Sample:NA12248:1
NA12249,1416,12,0,0,2,urn:lsid:dcc.hapmap.org:Individual:CEPH1416.12:1,urn:lsid:dcc.hapmap.org:Sample:NA12249:1
NA10835,1416,1,11,12,1,urn:lsid:dcc.hapmap.org:Individual:CEPH1416.01:1,urn:lsid:dcc.hapmap.org:Sample:NA10835:1
NA18500,4,1,3,2,1,urn:LSID:dcc.hapmap.org:Individual:YOR004.01:1,urn:LSID:dcc.hapmap.org:Sample:NA18500:1
NA18502,4,2,0,0,2,urn:LSID:dcc.hapmap.org:Individual:YOR004.02:1,urn:LSID:dcc.hapmap.org:Sample:NA18502:1
NA18501,4,3,0,0,1,urn:LSID:dcc.hapmap.org:Individual:YOR004.03:1,urn:LSID:dcc.hapmap.org:Sample:NA18501:1
